LONGITUDE,LATITUDE,LAND_USE_CLASS_0,LAND_USE_CLASS_1,LAND_USE_CLASS_2,LAND_USE_CLASS_3,LAND_USE_CLASS_4
23.9,49.4,0.0,1.0,0.0,0.0,0.0
23.9,49.5,0.0,0.4375,0.1875,0.375,0.0
23.9,49.6,0.0,0.0,0.0,0.9,0.1
23.9,49.7,0.0,0.38095238095238093,0.0,0.5714285714285714,0.047619047619047616
23.9,49.8,0.04,0.92,0.04,0.0,0.0
23.9,49.9,0.0,0.0,0.55,0.3,0.15
23.9,50.0,0.0,1.0,0.0,0.0,0.0
23.9,50.1,0.0,0.2631578947368421,0.0,0.6842105263157895,0.05263157894736842
23.9,50.2,0.0,0.625,0.375,0.0,0.0
23.9,50.3,0.0,0.8695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216
23.9,50.4,0.0,0.6190476190476191,0.0,0.38095238095238093,0.0
23.9,51.0,0.0,0.16,0.0,0.84,0.0
23.9,51.1,0.0,0.2857142857142857,0.42857142857142855,0.09523809523809523,0.19047619047619047
23.9,51.2,0.05,0.1,0.2,0.25,0.4
23.9,51.3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
23.9,51.4,0.0,0.1111111111111111,0.7777777777777778,0.0,0.1111111111111111
23.9,51.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5
23.9,51.6,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0
24.0,48.0,0.0,1.0,0.0,0.0,0.0
24.0,48.1,0.0,1.0,0.0,0.0,0.0
24.0,48.2,0.0,0.9545454545454546,0.045454545454545456,0.0,0.0
24.0,48.3,0.0,1.0,0.0,0.0,0.0
24.0,48.4,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0
24.0,48.5,0.0,1.0,0.0,0.0,0.0
24.0,48.6,0.0,0.8,0.2,0.0,0.0
24.0,48.7,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0
24.0,48.8,0.0,0.7727272727272727,0.22727272727272727,0.0,0.0
24.0,48.9,0.0,0.4782608695652174,0.2608695652173913,0.13043478260869565,0.13043478260869565
24.0,49.0,0.0,0.6842105263157895,0.10526315789473684,0.0,0.21052631578947367
24.0,49.1,0.0,0.08695652173913043,0.8695652173913043,0.043478260869565216,0.0
24.0,49.2,0.04,0.04,0.0,0.92,0.0
