OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%),YEAR
UA32,2023-01-06,-6.3425,-10.2425,-8.877915,0.0,0.0,84.9633,96.62083,2023
UA53,2023-01-06,-9.1755,-13.2255,-11.842166,0.0,0.0,25.517822,72.88333,2023
UA07,2023-01-06,-0.537,-2.637,-1.6245002,0.0,1.4000001,112.87008,97.31667,2023
UA26,2023-01-06,7.1865,0.6365,3.5719159,1.6,0.90999997,312.6625,96.9625,2023
UA23,2023-01-06,-2.774,-9.224,-6.259417,0.0,0.0,6.426202,75.3125,2023
UA48,2023-01-06,1.25,-3.65,-1.1729167,0.0,0.21000001,48.641315,83.01667,2023
UA56,2023-01-06,-1.689,-3.889,-2.7452497,0.0,0.97999996,109.47825,98.15,2023
UA68,2023-01-06,-0.8645,-2.3645,-1.9999164,0.0,2.24,135.5839,97.916664,2023
UA40,2023-01-06,5.017,1.367,3.017,0.1,0.0,43.59818,81.2125,2023
UA77,2023-01-06,4.4175,-2.0325,1.6591668,1.3000002,0.49,135.15363,90.4125,2023
UA35,2023-01-06,-2.056,-8.306,-5.4455833,0.0,0.0,26.113783,97.0875,2023
UA63,2023-01-06,-11.013499,-15.9635,-13.934333,0.0,0.0,359.8368,57.779163,2023
UA61,2023-01-06,3.3695,-1.6305,0.6945,0.4,2.6599998,142.73349,98.49583,2023
UA26,2023-01-07,3.0365,1.1365,1.6719165,0.0,0.0,123.35585,94.24167,2023
UA68,2023-01-07,-1.2644999,-4.2645,-2.662417,0.0,0.0,137.3491,95.541664,2023
UA71,2023-01-07,-5.415,-9.115,-7.8441663,0.0,0.0,133.69505,77.458336,2023
UA61,2023-01-07,0.6695,-1.7305,-0.96175003,0.0,0.0,134.53923,90.48334,2023
UA12,2023-01-07,-7.1135,-12.1635,-10.08225,0.0,0.0,94.17806,18.312502,2023
UA46,2023-01-07,3.391,-0.55899996,1.4639167,0.0,0.0,145.1993,91.4,2023
UA07,2023-01-07,1.363,-3.137,-1.2620001,0.0,0.0,142.57213,92.98334,2023
UA51,2023-01-07,1.755,-0.945,-0.063750036,0.5,2.31,101.455536,97.15,2023
UA56,2023-01-07,0.41099998,-3.6890001,-1.9431669,0.0,0.0,140.74542,94.46667,2023
UA40,2023-01-07,3.167,1.317,2.1794999,0.4,0.7,44.452335,97.69167,2023
UA18,2023-01-07,-1.678,-5.8780003,-4.219667,0.0,0.0,136.06157,90.55417,2023
UA09,2023-01-07,-10.774,-16.074001,-13.9365,0.0,0.0,356.79056,0.0,2023
UA65,2023-01-07,-3.0644999,-6.6145,-4.9895,0.0,0.42,89.74077,98.44167,2023
UA59,2023-01-07,-10.0045,-18.3045,-14.300334,0.0,0.0,124.68652,0.55,2023
